gene,gene_e
16,0.1
23,0.1
25,-0.1
30,-0.3
39,-2.4
47,-2.2
102,-2.6
128,-0.4
142,2.4
154,0
178,0.3
207,-0.1
211,-0.5
226,0.1
230,-2.2
291,0.3
310,2.6
323,-0.9
329,1.1
332,0.8
348,-0.9
351,1.4
355,-1.9
387,0.3
392,-1.9
427,1.4
466,1
481,-0.1
501,0.1
533,-0.1
572,-0.8
581,-2.9
595,2.4
596,0.2
622,-2.4
637,-0.9
642,-0.5
644,-0.3
652,1.5
664,1.9
665,1.2
670,0.8
672,-1.4
695,-0.7
701,1.3
727,0.8
780,-1.8
808,0
813,1.2
823,-3.6
831,-0.4
835,-1.5
836,-0.6
840,-1.5
843,0.7
847,2.8
868,1.1
873,0.4
874,4.2
890,-0.3
891,1.4
896,-3.1
899,0.2
902,0.5
949,-1.6
958,0.9
960,-0.2
965,0.6
976,2
983,1.4
991,0.1
993,-0.3
994,0.1
998,0.4
1001,-2.6
1017,-0.9
1019,0.4
1021,-0.8
1022,-1.4
1026,-6.2
1027,-0.5
1029,-1.9
1050,-1.1
1052,-1.2
1062,-0.5
1070,0.6
1111,0.7
1123,1.5
1153,-0.9
1212,-2.2
1213,0.6
1277,0.9
1282,-4
1385,0
1398,-1.8
1399,0.8
1429,0.6
1445,-0.6
1452,-0.6
1454,-2.9
1459,0.2
1465,-3.1
1500,1
1509,-1.5
1514,-2.3
1534,0.5
1605,0.7
1616,-1.8
1633,1.6
1635,-0.6
1643,-1.5
1647,0.3
1662,0.9
1666,2.7
1676,-0.6
1677,0.9
1738,0
1759,-0.5
1786,0.4
1788,1.5
1802,-0.3
1829,-0.9
1831,-1.2
1845,1
1846,2.2
1848,0.5
1861,-0.4
1870,0.7
1891,-0.9
1906,0.2
1950,1.8
1956,-3
1958,-1.5
1978,0.4
1981,-3.3
1983,0.1
1994,-0.5
2017,-0.9
2037,-0.2
2042,-0.1
2048,-1
2058,0.4
2063,-0.1
2064,-1.3
2065,0.5
2109,-1
2113,-2
2115,0.7
2131,1.6
2146,1.3
2184,0.1
2185,-0.1
2195,-0.3
2222,-2.4
2263,2.3
2264,1.7
2274,-0.9
2288,0.1
2309,-1.2
2353,-0.9
2356,-0.9
2523,-0.4
2534,-1
2542,0.6
2548,0.7
2553,-1.1
2582,-0.3
2597,0
2624,2.3
2625,-0.3
2673,-0.5
2690,1
2736,0.7
2745,2
2767,1.1
2769,-1.3
2770,-0.4
2771,-0.1
2778,-1.3
2810,-0.8
2817,-3.1
2852,0.7
2886,1.3
2887,-0.1
2896,0
2908,-0.6
2920,0
2946,0.4
2954,1.6
2956,-1.4
2958,1.3
2961,-0.1
3028,-0.8
3033,1.5
3066,-0.4
3091,0.2
3098,1.1
3108,0
3122,1.5
3156,-1.6
3157,-3.8
3162,-2
3202,0.2
3206,2.1
3251,0.3
3280,0.9
3300,-0.4
3303,-0.2
3308,0.2
3312,0.5
3315,0.1
3329,0.2
3337,0.2
3383,-1.5
3385,1.5
3398,1
